Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country,Primary Cuisine,Cost Category
Le Petit Souffle,162,Makati City,121.027535,14.565443,"french, japanese, desserts",1100,Yes,No,No,3,4.8,314,Phillipines,french,High
Izakaya Kikufuji,162,Makati City,121.014101,14.553708,japanese,1200,Yes,No,No,3,4.5,591,Phillipines,japanese,High
Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,chinese,1000,No,No,No,3,4.4,336,Phillipines,chinese,High
Locavore,162,Pasig City,121.056532,14.572041,filipino,1100,Yes,No,No,3,4.8,532,Phillipines,filipino,High
Silantro Fil-Mex,162,Pasig City,121.057916,14.567689,"filipino, mexican",800,No,No,No,3,4.9,1070,Phillipines,filipino,High
Mad Mark's Creamery & Good Eats,162,Pasig City,121.06082,14.570849,"american, ice cream, desserts",900,Yes,No,No,3,4.2,488,Phillipines,american,High
Silantro Fil-Mex,162,Quezon City,121.075419,14.649503,"filipino, mexican",800,No,No,No,3,4.8,294,Phillipines,filipino,High
Guevarra's,162,San Juan City,121.0335917,14.59345,filipino,1000,Yes,No,No,3,4.2,458,Phillipines,filipino,High
Sodam Korean Restaurant,162,San Juan City,121.03811,14.59889,korean,700,No,No,No,3,4.3,223,Phillipines,korean,High
Cafe Arabelle,162,Santa Rosa,121.05704,14.237082,"cafe, american, italian, filipino",800,No,No,No,3,3.6,29,Phillipines,cafe,High
Nonna's Pasta & Pizzeria,162,Santa Rosa,121.0565874,14.23767897,"italian, pizza",850,No,No,No,3,4.0,72,Phillipines,italian,High
Balay Dako,162,Tagaytay City,120.951589,14.101834,filipino,1200,Yes,No,No,3,4.5,211,Phillipines,filipino,High
Hobing Korean Dessert Cafe,162,Taguig City,121.045878,14.55436,"cafe, korean, desserts",600,No,No,No,2,4.5,118,Phillipines,cafe,Medium
Chez Michou,30,Brasï¿½_lia,-47.88178889,-15.76414167,"fast food, french",55,No,No,No,2,3.0,6,Brazil,fast food,Low
Cafï¿½ï¿½ Daniel Briand,30,Brasï¿½_lia,-47.88266667,-15.7775,cafe,30,No,No,No,1,3.8,9,Brazil,cafe,Low
Casa do Biscoito Mineiro,30,Brasï¿½_lia,-47.88213611,-15.75747222,bakery,45,No,No,No,2,3.7,11,Brazil,bakery,Low
Maori,30,Brasï¿½_lia,-47.88816667,-15.75883333,brazilian,60,No,No,No,3,3.8,11,Brazil,brazilian,Low
