Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country,Primary Cuisine,Cost Category,norm_votes,norm_rating,Score,Explanation
Truffles,1,Bangalore,77.61429269,12.93329764,"american, burger, cafe",800,No,Yes,No,2,4.7,9667,India,american,High,1.0,0.9400000000000001,0.958,"Matched on american cuisine, High budget in India with rating 4.7"
Peter Cat,1,Kolkata,88.352885,22.5526719,"continental, north indian",1000,No,Yes,No,3,4.3,7574,India,continental,High,0.7834902244750181,0.86,0.8370470673425054,"Matched on continental cuisine, High budget in India with rating 4.3"
Naturals Ice Cream,1,New Delhi,77.2221482,28.6343484,ice cream,150,No,Yes,No,1,4.9,2620,India,ice cream,Low,0.27102513706423914,0.9800000000000001,0.7673075411192718,"Matched on ice cream cuisine, Low budget in India with rating 4.9"
Saravana Bhavan,1,New Delhi,77.2163096,28.6323578,south indian,500,No,Yes,No,2,4.3,5172,India,south indian,Medium,0.5350160339298645,0.86,0.7625048101789593,"Matched on south indian cuisine, Medium budget in India with rating 4.3"
Bern's Steak House,216,Tampa Bay,-82.482962,27.931516,"american, desserts, steak",70,No,No,No,4,4.7,3157,United States,american,Low,0.3265749456915279,0.9400000000000001,0.7559724837074584,"Matched on american cuisine, Low budget in United States with rating 4.7"
McGuire's Irish Pub & Brewery,216,Pensacola,-87.2027,30.4179,"burger, bar food, steak",40,No,No,No,3,4.9,2238,United States,burger,Low,0.23150925830143787,0.9800000000000001,0.7554527774904314,"Matched on burger cuisine, Low budget in United States with rating 4.9"
Datz,216,Tampa Bay,-82.4932815,27.9219315,"desserts, bar food",40,No,No,No,3,4.7,3074,United States,desserts,Low,0.3179890348608669,0.9400000000000001,0.7533967104582601,"Matched on desserts cuisine, Low budget in United States with rating 4.7"
BarBQ,1,Kolkata,88.35231029,22.55299638,"chinese, north indian",900,No,Yes,No,2,4.2,5288,India,chinese,High,0.5470156201510292,0.8400000000000001,0.7521046860453087,"Matched on chinese cuisine, High budget in India with rating 4.2"
AB's Absolute Barbecues,214,Dubai,55.17874617,25.10777315,"indian, continental",160,Yes,No,No,3,4.8,2510,UAE,indian,Low,0.25964621909589325,0.96,0.7498938657287679,"Matched on indian cuisine, Low budget in UAE with rating 4.8"
Le Plaisir,1,Pune,73.83842938,18.51420998,"european, desserts",1000,No,No,No,3,4.8,2510,India,european,High,0.25964621909589325,0.96,0.7498938657287679,"Matched on european cuisine, High budget in India with rating 4.8"
